warning_id,navarea,state,source_warning_id,cancel_targets,last_updated_utc,plotted,plot_ref,issued_utc,state_reason,last_seen_in_cumulative_id,last_seen_in_cumulative_utc,omitted_by_cumulative_id,omitted_by_cumulative_utc
NAVAREA IV 161/2026,IV,ACTIVE,NAVAREA IV 161/2026,,2026-03-19T01:19:59Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011959Z.csv,,,,,,
NAVAREA IV 211/2026,IV,ACTIVE,NAVAREA IV 211/2026,,2026-03-19T01:19:59Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011959Z.csv,,,,,,
NAVAREA IV 223/2026,IV,ACTIVE,NAVAREA IV 223/2026,,2026-03-19T01:28:04Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_012804Z.csv,,,,,,
NAVAREA IV 20260320_230929Z,IV,ACTIVE,NAVAREA IV 20260320_230929Z,,2026-03-20T23:09:29Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_230929Z.csv,,,,,,
NAVAREA IV 20260320_231008Z,IV,ACTIVE,NAVAREA IV 20260320_231008Z,,2026-03-20T23:10:08Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_231008Z.csv,,,,,,
NAVAREA IV 20260320_231100Z,IV,ACTIVE,NAVAREA IV 20260320_231100Z,,2026-03-20T23:11:00Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_231100Z.csv,,,,,,
NAVAREA IV 20260320_231131Z,IV,ACTIVE,NAVAREA IV 20260320_231131Z,,2026-03-20T23:11:31Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_231131Z.csv,,,,,,
NAVAREA IV 219/26(GEN).,IV,ACTIVE,NAVAREA IV 219/26(GEN).,,2026-03-23T00:06:57Z,YES,D:\NAVSYS_USB\NAVWARN\voyage_usercharts\ROUTE_IV_userchart.csv,2026-03-23T00:06:57Z,NEW_OPERATIONAL_WARNING,,,,
"NAVAREA IV 218/26(27,28).",IV,ACTIVE,"NAVAREA IV 218/26(27,28).",,2026-03-22T01:08:37Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260322_010837Z.csv,2026-03-22T01:08:37Z,NEW_OPERATIONAL_WARNING,,,,
"NAVAREA IV 217/26(11,26).",V,ACTIVE,"NAVAREA IV 217/26(11,26).",,2026-03-22T23:54:20Z,YES,D:\NAVSYS_USB\NAVWARN\voyage_usercharts\ROUTE_V_userchart.csv,2026-03-22T23:54:20Z,NEW_OPERATIONAL_WARNING,,,,
"NAVAREA IV 215/26(11,26).",IV,ACTIVE,"NAVAREA IV 215/26(11,26).",,2026-03-22T01:08:37Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260322_010837Z.csv,2026-03-22T01:08:37Z,NEW_OPERATIONAL_WARNING,,,,
NAVAREA IV 213/26(25).,IV,ACTIVE,NAVAREA IV 213/26(25).,,2026-03-20T23:22:49Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_232249Z.csv,,,,,,
NAVAREA IV 211/26(GEN).,IV,REFERENCE,NAVAREA IV 211/26(GEN).,,2026-03-20T23:22:49Z,NO,,,,,,,
"NAVAREA IV 207/26(11,26).",IV,ACTIVE,"NAVAREA IV 207/26(11,26).",,2026-03-20T23:22:50Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_232250Z.csv,,,,,,
NAVAREA IV 204/26(GEN).,IV,ACTIVE,NAVAREA IV 204/26(GEN).,,2026-03-20T23:22:50Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_232250Z.csv,,,,,,
NAVAREA IV 189/26(24).,IV,ACTIVE,NAVAREA IV 189/26(24).,,2026-03-20T23:22:50Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_232250Z.csv,,,,,,
NAVAREA IV 180/26(28).,IV,ACTIVE,NAVAREA IV 180/26(28).,,2026-03-20T23:22:50Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_232250Z.csv,,,,,,
NAVAREA IV 167/26(11).,IV,ACTIVE,NAVAREA IV 167/26(11).,,2026-03-20T23:22:50Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_232250Z.csv,,,,,,
NAVAREA IV 161/26(24).,IV,ACTIVE,NAVAREA IV 161/26(24).,,2026-03-20T23:22:50Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_232250Z.csv,,,,,,
NAVAREA IV 158/26(26).,IV,ACTIVE,NAVAREA IV 158/26(26).,,2026-03-20T23:22:50Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260320_232250Z.csv,,,,,,
